isbn3,title1,author3,course,title2,title3,isbn1,author1,author2,isbn2,price3,price2,price1
,,,All : 2016 Fall : Course ID 95665,,,,,,,,,
,,,All : 2016 Fall : TUTR : 90 : 001 : Course ID 94649,,,,,,,,,
,,,All : 2016 Fall : TUTR : 89 : 001 : Course ID 94648,,,,,,,,,
,,,All : 2016 Fall : Course ID 94602,,,,,,,,,
,,,All : 2016 Fall : UMD : 5200 : 001 : Course ID 95506,,,,,,,,,
,,,All : 2016 Fall : Course ID 94603,,,,,,,,,
,,,All : 2016 Fall : Course ID 94605,,,,,,,,,
,,,All : 2016 Fall : Course ID 94606,,,,,,,,,
,,,All : 2016 Fall : TRAN : 603 : 101 : Course ID 94597,,,,,,,,,
,Urban Transportation Planning,,,,,,,,,,,
,Urban Transportation Planning,,,,,,,,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,Meyer,,,,,
,,,,,,9780072423327,,,,,,
,Urban Transportation Planning,,,,,,,,,,,
,,,,,,,,,,,,$213.75
,Urban Transportation Planning,,,,,,,,,,,
,,,,,,,Meyer,,,,,
,,,,,,,,Meyer,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : Course ID 94608,,,,,,,,,
,,,,,,,,,,,,$213.75
,Engineering Economics & Finance for Transportation Infrastructure,,,,,,,,,,,
,,,,,,,,Meyer,,,,
,Engineering Economics & Finance for Transportation Infrastructure,,,,,,,,,,,
,,,,,,,Prassas,,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,,,,,,$136.75
,Operations Research (w/CD & InfoTrac Access Code),,,,,,,,,,,
,Operations Research (w/CD & InfoTrac Access Code),,,,,,,,,,,
,,,,,,,Winston,,,,,
,,,All : 2016 Fall : TRAN : 615 : 851 : Course ID 94599,,,,,,,,,
,,,,,,,,Prassas,,,,
,,,,,,,,,,,,$435.50
,,,All : 2016 Fall : Course ID 94613,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Traffic Engineering,,,,,,,,,,,
,Traffic Engineering,,,,,,,,,,,
,,,,,,,Roess,,,,,
,,,,,,,,Winston,,,,
,Operations Research (w/CD & InfoTrac Access Code),,,,,,,,,,,
,,,,,,9780136135739,,,,,,
,,,,,,,,,,,,$236.75
,,,,,,,,Roess,,,,
,Operations Research (w/CD & InfoTrac Access Code),,,,,,,,,,,
,,,,,,,Winston,,,,,
,,,,,,,,,,,,$435.50
,,,Course Materials,,,,,,,,,
,,,,,,,,Winston,,,,
,Urban Transit,,,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Urban Transit,,,,,,,,,,,
,,,,,,,Vuchic,,,,,
,Urban Transit,,,,,,,,,,,
,,,,,,,,,,,,$155.00
,Urban Transit,,,,,,,,,,,
,,,,,,,Vuchic,,,,,
,,,,,,,,Vuchic,,,,
,,,,,,,,,,,,$155.00
,,,,,,,,Vuchic,,,,
,,,All : 2016 Fall : Course ID 94617,,,,,,,,,
,,,All : 2016 Fall : Course ID 94627,,,,,,,,,
,,,All : 2016 Fall : Course ID 94629,,,,,,,,,
,,,All : 2016 Fall : Course ID 94634,,,,,,,,,
,,,All : 2016 Fall : Course ID 94639,,,,,,,,,
,,,All : 2016 Fall : Course ID 94644,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Copenhagen,,,,,,,,,,,
,Copenhagen,,,,,,,,,,,
,,,,,,,Frayn,,,,,
,,,All : 2016 Fall : STS : 201 : H01 : Course ID 94560,,,,,,,,,
,,,,,,,,,,,,$9.95
,Contemporary Society,,,,,,,,,,,
,Contemporary Society,,,,,,,,,,,
,,,,,,,Perry,,,,,
,,,,,,9781138100275,,,,,,
,,,,,,,,Frayn,,,,
,,,,,,,,,,,,$192.50
,,,,,,,,Perry,,,,
,,,Course Materials,,,,,,,,,
,Adjustment Computations,,,,,,,,,,,
,Adjustment Computations,,,,,,,,,,,
,,,,,,,Ghilani,,,,,
,,,,,,,,,,,,$201.25
,,,,,,,,Ghilani,,,,
,,,All : 2016 Fall : Course ID 95023,,,,,,,,,
,,,All : 2016 Fall : Course ID 95207,,,,,,,,,
,,,All : 2016 Fall : Course ID 95207,,,,,,,,,
,,,All : 2016 Fall : Course ID 95164,,,,,,,,,
,,,All : 2016 Fall : Course ID 95164,,,,,,,,,
,,,All : 2016 Fall : Course ID 95043,,,,,,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : Course ID 95188,,,,,,,,,
,Modern Romance,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 95190,,,,,,,,,
,Modern Romance,,,,,,,,,,,
,,,,,,,Ansari,,,,,
,,,,,,,Ansari,,,,,
,,,,,,,,,,,,$17.00
,,,All : 2016 Fall : Course ID 95193,,,,,,,,,
,,,,Family Theories,,,,,,,,
,,,All : 2016 Fall : Course ID 95042,,,,,,,,,
,,,,Family Theories,,,,,,,,
,,,,,,,,Ansari,,,,
,,,,,,,,Ansari,,,,
,,,All : 2016 Fall : Course ID 95187,,,,,,,,,
,,,All : 2016 Fall : Course ID 95737,,,,,,,,,
,,,All : 2016 Fall : Course ID 94975,,,,,,,,,
,,,All : 2016 Fall : Course ID 94979,,,,,,,,,
,,,All : 2016 Fall : Course ID 94984,,,,,,,,,
,,,All : 2016 Fall : Course ID 94988,,,,,,,,,
,,,All : 2016 Fall : Course ID 94982,,,,,,,,,
,,,All : 2016 Fall : Course ID 95097,,,,,,,,,
,,,All : 2016 Fall : Course ID 95089,,,,,,,,,
,,,All : 2016 Fall : Course ID 95010,,,,,,,,,
,,,All : 2016 Fall : Course ID 95011,,,,,,,,,
,,,All : 2016 Fall : Course ID 95021,,,,,,,,,
,,,All : 2016 Fall : Course ID 95021,,,,,,,,,
,,,All : 2016 Fall : Course ID 95177,,,,,,,,,
,,,All : 2016 Fall : Course ID 95100,,,,,,,,,
,,,All : 2016 Fall : Course ID 94660,,,,,,,,,
,,,All : 2016 Fall : Course ID 94659,,,,,,,,,
,,,All : 2016 Fall : Course ID 94664,,,,,,,,,
,,,All : 2016 Fall : Course ID 94669,,,,,,,,,
,,,All : 2016 Fall : Course ID 94667,,,,,,,,,
,,,All : 2016 Fall : Course ID 94671,,,,,,,,,
,,,All : 2016 Fall : Course ID 95660,,,,,,,,,
,,,All : 2016 Fall : Course ID 94676,,,,,,,,,
,,,All : 2016 Fall : Course ID 95228,,,,,,,,,
,,,All : 2016 Fall : Course ID 95230,,,,,,,,,
,,,All : 2016 Fall : Course ID 95740,,,,,,,,,
,,,All : 2016 Fall : Course ID 95229,,,,,,,,,
,,,All : 2016 Fall : Course ID 95230,,,,,,,,,
,,,All : 2016 Fall : Course ID 94869,,,,,,,,,
,,,All : 2016 Fall : Course ID 94872,,,,,,,,,
,,,All : 2016 Fall : Course ID 95297,,,,,,,,,
,,,All : 2016 Fall : Course ID 94876,,,,,,,,,
,,,All : 2016 Fall : Course ID 94878,,,,,,,,,
,,,All : 2016 Fall : Course ID 94873,,,,,,,,,
,,,All : 2016 Fall : Course ID 94874,,,,,,,,,
,,,All : 2016 Fall : Course ID 95255,,,,,,,,,
,,,All : 2016 Fall : Course ID 94882,,,,,,,,,
,,,All : 2016 Fall : Course ID 94882,,,,,,,,,
,,,All : 2016 Fall : Course ID 94882,,,,,,,,,
,,,All : 2016 Fall : Course ID 94882,,,,,,,,,
,,,All : 2016 Fall : Course ID 95627,,,,,,,,,
,,,All : 2016 Fall : Course ID 94899,,,,,,,,,
,,,All : 2016 Fall : Course ID 95211,,,,,,,,,
,,,All : 2016 Fall : Course ID 94905,,,,,,,,,
,,,All : 2016 Fall : Course ID 94915,,,,,,,,,
,,,All : 2016 Fall : Course ID 94957,,,,,,,,,
,,,All : 2016 Fall : Course ID 94962,,,,,,,,,
,,,All : 2016 Fall : Course ID 94995,,,,,,,,,
,,,All : 2016 Fall : Course ID 94956,,,,,,,,,
,,,All : 2016 Fall : Course ID 94955,,,,,,,,,
,,,All : 2016 Fall : Course ID 94966,,,,,,,,,
,,,All : 2016 Fall : Course ID 94967,,,,,,,,,
,,,All : 2016 Fall : Course ID 95133,,,,,,,,,
,,,All : 2016 Fall : Course ID 95133,,,,,,,,,
,,,All : 2016 Fall : Course ID 95129,,,,,,,,,
,,,All : 2016 Fall : Course ID 95142,,,,,,,,,
,,,All : 2016 Fall : Course ID 95250,,,,,,,,,
,,,All : 2016 Fall : Course ID 95712,,,,,,,,,
,,,All : 2016 Fall : Course ID 95146,,,,,,,,,
,,,All : 2016 Fall : Course ID 95148,,,,,,,,,
,,,All : 2016 Fall : Course ID 94925,,,,,,,,,
,,,All : 2016 Fall : Course ID 94918,,,,,,,,,
,,,All : 2016 Fall : Course ID 95122,,,,,,,,,
,,,All : 2016 Fall : Course ID 95122,,,,,,,,,
,,,All : 2016 Fall : Course ID 95466,,,,,,,,,
,,,All : 2016 Fall : Course ID 94926,,,,,,,,,
,,,All : 2016 Fall : Course ID 94932,,,,,,,,,
,,,All : 2016 Fall : Course ID 95108,,,,,,,,,
,,,All : 2016 Fall : Course ID 95261,,,,,,,,,
,,,All : 2016 Fall : Course ID 95263,,,,,,,,,
,,,All : 2016 Fall : Course ID 95124,,,,,,,,,
,,,All : 2016 Fall : Course ID 95125,,,,,,,,,
,,,All : 2016 Fall : Course ID 95245,,,,,,,,,
,,,All : 2016 Fall : Course ID 94890,,,,,,,,,
,,,All : 2016 Fall : Course ID 95286,,,,,,,,,
,,,All : 2016 Fall : Course ID 95253,,,,,,,,,
,,,All : 2016 Fall : Course ID 94889,,,,,,,,,
,,,All : 2016 Fall : Course ID 94894,,,,,,,,,
,,,All : 2016 Fall : Course ID 95155,,,,,,,,,
,,,All : 2016 Fall : Course ID 95152,,,,,,,,,
,,,All : 2016 Fall : Course ID 95157,,,,,,,,,
,,,All : 2016 Fall : Course ID 95154,,,,,,,,,
,,,All : 2016 Fall : Course ID 95510,,,,,,,,,
,,,All : 2016 Fall : Course ID 95056,,,,,,,,,
,,,All : 2016 Fall : Course ID 95060,,,,,,,,,
,,,All : 2016 Fall : Course ID 95769,,,,,,,,,
,,,All : 2016 Fall : Course ID 95618,,,,,,,,,
,,,All : 2016 Fall : Course ID 95064,,,,,,,,,
,,,All : 2016 Fall : Course ID 94990,,,,,,,,,
,,,All : 2016 Fall : Course ID 94990,,,,,,,,,
,,,All : 2016 Fall : Course ID 94999,,,,,,,,,
,,,All : 2016 Fall : Course ID 94943,,,,,,,,,
,,,All : 2016 Fall : Course ID 94751,,,,,,,,,
,,,All : 2016 Fall : Course ID 94753,,,,,,,,,
,,,All : 2016 Fall : Course ID 94944,,,,,,,,,
,,,All : 2016 Fall : Course ID 94779,,,,,,,,,
,,,All : 2016 Fall : Course ID 95078,,,,,,,,,
,,,All : 2016 Fall : Course ID 94771,,,,,,,,,
,,,All : 2016 Fall : Course ID 94772,,,,,,,,,
,,,All : 2016 Fall : Course ID 94773,,,,,,,,,
,,,All : 2016 Fall : Course ID 95082,,,,,,,,,
,,,All : 2016 Fall : Course ID 94779,,,,,,,,,
,,,All : 2016 Fall : Course ID 94780,,,,,,,,,
,,,All : 2016 Fall : Course ID 94780,,,,,,,,,
,,,All : 2016 Fall : Course ID 95081,,,,,,,,,
,,,All : 2016 Fall : Course ID 94786,,,,,,,,,
,,,All : 2016 Fall : Course ID 94781,,,,,,,,,
,,,All : 2016 Fall : Course ID 94790,,,,,,,,,
,,,All : 2016 Fall : Course ID 94785,,,,,,,,,
,,,All : 2016 Fall : Course ID 94791,,,,,,,,,
,,,All : 2016 Fall : Course ID 94802,,,,,,,,,
,,,All : 2016 Fall : Course ID 94802,,,,,,,,,
,,,All : 2016 Fall : Course ID 95092,,,,,,,,,
,,,All : 2016 Fall : Course ID 95093,,,,,,,,,
,,,All : 2016 Fall : Course ID 94805,,,,,,,,,
,,,All : 2016 Fall : Course ID 94813,,,,,,,,,
,,,All : 2016 Fall : Course ID 94815,,,,,,,,,
,,,All : 2016 Fall : Course ID 94817,,,,,,,,,
,,,All : 2016 Fall : Course ID 94826,,,,,,,,,
,,,All : 2016 Fall : Course ID 94818,,,,,,,,,
,,,All : 2016 Fall : Course ID 95634,,,,,,,,,
,,,All : 2016 Fall : Course ID 95004,,,,,,,,,
,,,All : 2016 Fall : Course ID 94824,,,,,,,,,
,,,All : 2016 Fall : Course ID 95007,,,,,,,,,
,,,All : 2016 Fall : Course ID 94540,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Research Primer for Technical Communication,,,,,,,,,,,
,Research Primer for Technical Communication,,,,,,,,,,,
,,,,,,,Hughes,,,,,
,,,All : 2016 Fall : Course ID 95049,,,,,,,,,
,,,,,,,,,,,,$79.50
,,,,,,,,Hughes,,,,
,,,All : 2016 Fall : Course ID 95288,,,,,,,,,
,,,All : 2016 Fall : PHB : 610 : 101 : Course ID 94189,,,,,,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : Course ID 95679,,,,,,,,,
,,,All : 2016 Fall : Course ID 95373,,,,,,,,,
,Solving Problems in Technical Communication,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 94833,,,,,,,,,
,Solving Problems in Technical Communication,,,,,,,,,,,
,,,,,,,Johnson-Eilola,,,,,
,,,,,,,,,,,,$43.50
,,,All : 2016 Fall : Course ID 94155,,,,,,,,,
,,,,,,,,Johnson-Eilola,,,,
,,,All : 2016 Fall : Course ID 94858,,,,,,,,,
,,,All : 2016 Fall : Course ID 94154,,,,,,,,,
,,,All : 2016 Fall : Course ID 94861,,,,,,,,,
,,,All : 2016 Fall : Course ID 94860,,,,,,,,,
,,,All : 2016 Fall : Course ID 94169,,,,,,,,,
,,,All : 2016 Fall : Course ID 94162,,,,,,,,,
,,,All : 2016 Fall : Course ID 94180,,,,,,,,,
,,,All : 2016 Fall : Course ID 94172,,,,,,,,,
,,,All : 2016 Fall : Course ID 94184,,,,,,,,,
,,,All : 2016 Fall : Course ID 94184,,,,,,,,,
,,,All : 2016 Fall : Course ID 94179,,,,,,,,,
,,,All : 2016 Fall : PHIL : 334 : 003 : Course ID 94218,,,,,,,,,
,Ethics in Engineering,,,,,,,,,,,
,Ethics in Engineering,,,,,,,,,,,
,,,,,,,Martin,,,,,
,,,,,,9780072831153,,,,,,
,,,,,,,,,,,,$138.75
,,,,,,,,Martin,,,,
,,,All : 2016 Fall : Course ID 95309,,,,,,,,,
,,,All : 2016 Fall : Course ID 95524,,,,,,,,,
,,,All : 2016 Fall : Course ID 95524,,,,,,,,,
,,,All : 2016 Fall : MTSE : 719 : 101 : Course ID 94054,,,,,,,,,
,,,All : 2016 Fall : Course ID 94070,,,,,,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : Course ID 94071,,,,,,,,,
,Optics,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 95556,,,,,,,,,
,Optics,,,,,,,,,,,
,,,,,,,Hecht,,,,,
,,,,,,,,,,,,$217.75
,,,,,,,,Hecht,,,,
,,,All : 2016 Fall : Course ID 94078,,,,,,,,,
,,,All : 2016 Fall : Course ID 94081,,,,,,,,,
,,,All : 2016 Fall : Course ID 94088,,,,,,,,,
,,,All : 2016 Fall : Course ID 94083,,,,,,,,,
,,,All : 2016 Fall : Course ID 94133,,,,,,,,,
,,,All : 2016 Fall : Course ID 94138,,,,,,,,,
,,,All : 2016 Fall : Course ID 95555,,,,,,,,,
,,,All : 2016 Fall : Course ID 94142,,,,,,,,,
,,,All : 2016 Fall : Course ID 94130,,,,,,,,,
,,,All : 2016 Fall : Course ID 94131,,,,,,,,,
,,,All : 2016 Fall : Course ID 94136,,,,,,,,,
,,,All : 2016 Fall : Course ID 94140,,,,,,,,,
,,,All : 2016 Fall : Course ID 94978,,,,,,,,,
,,,All : 2016 Fall : Course ID 94985,,,,,,,,,
,,,All : 2016 Fall : Course ID 95238,,,,,,,,,
,,,All : 2016 Fall : Course ID 95241,,,,,,,,,
,,,All : 2016 Fall : Course ID 95242,,,,,,,,,
,,,All : 2016 Fall : Course ID 95032,,,,,,,,,
,,,All : 2016 Fall : Course ID 95240,,,,,,,,,
,,,All : 2016 Fall : Course ID 95239,,,,,,,,,
,,,All : 2016 Fall : PBL : 201 : 001 : Course ID 94748,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Managerial Decision Modeling etc (w/Bind In Access Code),,,,,,,,,,,
,Managerial Decision Modeling etc (w/Bind In Access Code),,,,,,,,,,,
,,,,,,,Balakrishnan,,,,,
,,,,,,,,,,,,$297.00
,,,,,,,,Balakrishnan,,,,
,,,All : 2016 Fall : PHYS : 111A : 007 : Course ID 94271,,,,,,,,,
,Physics 111A Lab Man 2015 Update (Custom),,,,,,,,,,,
,Physics 111A Lab Man 2015 Update (Custom),,,,,,,,,,,
,,,,,,,Phys,,,,,
,,,,,,,,,,,,$21.75
,,,,,,,,Phys,,,,
,,,Course Materials,,,,,,,,,
,Managerial Decision Modeling etc (w/Bind In Access Code),,,,,,,,,,,
,Managerial Decision Modeling etc (w/Bind In Access Code),,,,,,,,,,,
,,,,,,,Balakrishnan,,,,,
,,,,,,,,,,,,$297.00
,,,,,,,,Balakrishnan,,,,
,,,Course Materials,,,,,,,,,
,Managerial Decision Modeling etc (w/Bind In Access Code),,,,,,,,,,,
,Managerial Decision Modeling etc (w/Bind In Access Code),,,,,,,,,,,
,,,,,,,Balakrishnan,,,,,
,,,,,,,,,,,,$297.00
,,,,,,,,Balakrishnan,,,,
,,,All : 2016 Fall : PHYS : 121A : 013 : Course ID 94305,,,,,,,,,
,Physics 121A Lab Man 2015 Update (Custom),,,,,,,,,,,
,Physics 121A Lab Man 2015 Update (Custom),,,,,,,,,,,
,,,,,,,Phys,,,,,
,,,,,,,,,,,,$21.75
,,,,,,,,Phys,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : PHYS : 202A : 003 : Course ID 94313,,,,,,,,,
,Physics 111A Lab Man 2015 Update (Custom),,,,,,,,,,,
,PHYS 202A Lab Manual,,,,,,,,,,,
,Physics 111A Lab Man 2015 Update (Custom),,,,,,,,,,,
,PHYS 202A Lab Manual,,,,,,,,,,,
,,,,,,,Phys,,,,,
,,,,,,,Phys,,,,,
,,,,,,,,,,,,$29.50
,,,,,,,,Phys,,,,
,,,,,,,,,,,,$21.75
,,,,Quick Study Physics (physics book),,,,,,,,
,,,,Quick Study Physics (physics book),,,,,,,,
,,,,,,,,Phys,,,,
,,,Course Materials,,,,,,,,,
,University Physics Vol2 (NJIT Custom),,,,,,,,,,,
,University Physics Vol2 (NJIT Custom),,,,,,,,,,,
,,,,,,,Young,,,,,
,,,,,,,,,,,,$165.00
,,,,PHYSICS,,,,,,,,
,,,,PHYSICS,,,,,,,,
,,,,,,,,Young,,,,
,,,Course Materials,,,,,,,,,
